Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,Gears,Ground_Clearance,Odometer,Speedometer,Seating_Capacity,Transmission,ABS_(Anti-lock_Braking_System),EBD_(Electronic_Brake-force_Distribution),Number_of_Airbags
Bmw,3-Series,320D Sport,"Rs. 41,40,000",1995 cc,4,4,RWD (Rear Wheel Drive),BS 6,40 litres,Diesel,1429 mm,4633 mm,1811 mm,Sedan,5,8,157 mm,Digital,"Analog, Digital",5,Automatic,Yes,Yes,6
Bmw,3-Series,320D Luxury Line,"Rs. 46,90,000",1995 cc,4,4,RWD (Rear Wheel Drive),BS 6,40 litres,Diesel,1429 mm,4633 mm,1811 mm,Sedan,5,8,157 mm,Digital,"Analog, Digital",5,Automatic,Yes,Yes,6
Bmw,3-Series,330I M Sport,"Rs. 47,90,000",1998 cc,4,4,RWD (Rear Wheel Drive),BS 6,59 litres,Petrol,1429 mm,4633 mm,1811 mm,Sedan,5,8,157 mm,Digital,"Analog, Digital",5,Automatic,Yes,Yes,6
Volvo,S60 Cross Country,D4,"Rs. 44,26,500",2400 cc,5,4,AWD (All Wheel Drive),BS IV,67 litres,Diesel,1539 mm,4637 mm,2097 mm,"Sedan, Crossover",4,6,201 mm,Digital,Digital,4,Automatic,Yes,Yes,6
Audi,Q5,35 Tdi Premium Plus,"Rs. 50,21,200",1968 cc,4,4,FWD (Front Wheel Drive),BS IV,64 litres,Diesel,1608 mm,4388 mm,1831 mm,SUV,5,7,170 mm,Digital,Analog,5,Automatic,Yes,Yes,8
Audi,Q5,35 Tdi Technology,"Rs. 56,21,200",1968 cc,4,4,AWD (All Wheel Drive),BS IV,64 litres,Diesel,1608 mm,4388 mm,1831 mm,SUV,5,7,170 mm,Digital,Analog,5,Automatic,Yes,Yes,8
Audi,Q5,45 Tfsi Premium Plus,"Rs. 50,21,200",1984 cc,6,4,AWD (All Wheel Drive),BS IV,70 litres,Petrol,1659 mm,4663 mm,1898 mm,SUV,5,7,200 mm,Digital,Analog,5,Automatic,Yes,Yes,8
Audi,Q5,45 Tfsi Technology,"Rs. 56,21,200",1984 cc,6,4,AWD (All Wheel Drive),BS IV,70 litres,Petrol,1659 mm,4663 mm,1898 mm,SUV,5,7,200 mm,Digital,Analog,5,Automatic,Yes,Yes,8
Land Rover Rover,Range Evoque,S,"Rs. 54,94,000",1999 cc,4,4,AWD (All Wheel Drive),BS 6,,Diesel,1649 mm,4371 mm,1996 mm,SUV,5,9,210 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Land Rover Rover,Range Evoque,Se R-Dynamic,"Rs. 59,85,000",1999 cc,4,4,AWD (All Wheel Drive),BS 6,,Diesel,1649 mm,4371 mm,1996 mm,SUV,5,9,210 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Land Rover Rover,Range Evoque,S Petrol,"Rs. 54,94,000",1997 cc,4,4,AWD (All Wheel Drive),BS 6,,Petrol,1649 mm,4371 mm,1996 mm,SUV,5,9,210 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Land Rover Rover,Range Evoque,Se R-Dynamic Petrol,"Rs. 59,85,000",1997 cc,4,4,AWD (All Wheel Drive),BS 6,,Petrol,1649 mm,4371 mm,1996 mm,SUV,5,9,210 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Mercedes-Benz,Mercedes-Benz E-Class,E200,"Rs. 58,61,062",1991 cc,4,4,RWD (Rear Wheel Drive),BS IV,80 litres,Petrol,1494 mm,5063 mm,1860 mm,Sedan,4,,,Digital,Analog,5,Automatic,Yes,Yes,7
Mercedes-Benz,Mercedes-Benz E-Class,E350 D,"Rs. 72,85,332",2987 cc,6,4,RWD (Rear Wheel Drive),BS IV,80 litres,Diesel,1494 mm,5063 mm,1860 mm,Sedan,4,,155 mm,Analog,Analog,5,Automatic,Yes,Yes,7
Mercedes-Benz,Mercedes-Benz E-Class,E220D,"Rs. 59,64,321",2987 cc,6,4,RWD (Rear Wheel Drive),BS IV,80 litres,Diesel,1494 mm,5063 mm,1860 mm,Sedan,4,,155 mm,Analog,Analog,5,Automatic,Yes,Yes,7
Mercedes-Benz,Mercedes-Benz E-Class,E 63 S Amg,"Rs. 1,50,00,000",5461 cc,8,4,AWD (All Wheel Drive),BS IV,80 litres,Petrol,1474 mm,4879 mm,1854 mm,Sedan,4,7,155 mm,,,4,Automatic,Yes,Yes,6
Mercedes-Benz,Mercedes-Benz E-Class,E200 Expression,"Rs. 57,50,000",1991 cc,4,4,RWD (Rear Wheel Drive),BS IV,80 litres,Petrol,1494 mm,5063 mm,1860 mm,Sedan,4,,,Digital,Analog,5,Automatic,Yes,Yes,7
Mercedes-Benz,Mercedes-Benz E-Class,E200 Exclusive,"Rs. 61,50,000",1991 cc,4,4,RWD (Rear Wheel Drive),BS IV,80 litres,Petrol,1494 mm,5063 mm,1860 mm,Sedan,4,,,Digital,Analog,5,Automatic,Yes,Yes,7
Mercedes-Benz,Mercedes-Benz E-Class,E220D Expression,"Rs. 58,50,000",2987 cc,6,4,RWD (Rear Wheel Drive),BS IV,80 litres,Diesel,1494 mm,5063 mm,1860 mm,Sedan,4,,155 mm,Analog,Analog,5,Automatic,Yes,Yes,7
Mercedes-Benz,Mercedes-Benz E-Class,E220D Exclusive,"Rs. 62,50,000",2987 cc,6,4,RWD (Rear Wheel Drive),BS IV,80 litres,Diesel,1494 mm,5063 mm,1860 mm,Sedan,4,,155 mm,Analog,Analog,5,Automatic,Yes,Yes,7
Volvo,Xc60,Inscription D5,"Rs. 59,90,000",1969 cc,5,4,AWD (All Wheel Drive),BS IV,70 litres,Diesel,1658 mm,4688 mm,1902 mm,SUV,5,6,209 mm,Digital,Digital,5,Automatic,Yes,Yes,8
Bmw,X4,Xdrive20D M Sport X,"Rs. 60,60,000",1995 cc,4,4,AWD (All Wheel Drive),BS 6,60 litres,Diesel,1621 mm,4752 mm,1918 mm,SUV,5,8,498 mm,Yes,Yes,5,Automatic,Yes,Yes,6
Bmw,X4,Xdrive30D M Sport X,"Rs. 65,90,000",2993 cc,6,4,AWD (All Wheel Drive),BS 6,68 litres,Diesel,1621 mm,4752 mm,1918 mm,SUV,5,8,498 mm,Yes,Yes,5,Automatic,Yes,Yes,6
Bmw,X4,Xdrive30I M Sport X,"Rs. 63,50,000",1998 cc,6,4,AWD (All Wheel Drive),BS 6,68 litres,Petrol,1621 mm,4752 mm,1918 mm,SUV,5,8,498 mm,Yes,Yes,5,Automatic,Yes,Yes,6
Jeep,Wrangler,Unlimited,"Rs. 63,94,000",1999 cc,4,4,AWD (All Wheel Drive),BS 6,85 litres,Petrol,1838 mm,4882 mm,1877 mm,SUV,5,8,215 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Mercedes-Benz,Mercedes-Benz C-Class Cabriolet,C300,"Rs. 64,26,497",1991 cc,4,4,RWD (Rear Wheel Drive),BS 6,60 litres,Petrol,1409 mm,4686 mm,1810 mm,Convertible,2,9,,Analog,Analog,4,Automatic,Yes,Yes,8
Bmw,Z4 Roadster,Sdrive 20I,"Rs. 64,90,000",1998 cc,4,4,RWD (Rear Wheel Drive),BS 6,52 litres,Petrol,1304 mm,4324 mm,2024 mm,"Sports, Convertible",2,8,,Yes,Digital,2,Automatic,Yes,Yes,4
Bmw,Z4 Roadster,M 40I,"Rs. 78,90,000",2998 cc,6,4,RWD (Rear Wheel Drive),BS 6,52 litres,Petrol,1304 mm,4324 mm,1459 mm,"Sports, Convertible",2,8,,Yes,Yes,2,Automatic,Yes,Yes,4
Mercedes-Benz,Mercedes-Benz V-Class,Expression Elwb,"Rs. 68,40,000",2143 cc,4,4,RWD (Rear Wheel Drive),BS 6,93 litres,Diesel,1880 mm,5370 mm,1928 mm,MUV,5,7,,Yes,Digital,7,Automatic,Yes,Yes,6
Mercedes-Benz,Mercedes-Benz V-Class,Exclusive Lwb,"Rs. 81,90,000",2143 cc,4,4,RWD (Rear Wheel Drive),BS 6,93 litres,Diesel,1880 mm,5140 mm,1928 mm,MUV,5,7,,Yes,Yes,6,Automatic,Yes,Yes,6
Mercedes-Benz,Mercedes-Benz V-Class,Elite,"Rs. 1,10,00,000",1950 cc,4,4,RWD (Rear Wheel Drive),BS 6,70 litres,Diesel,1901 mm,5140 mm,1928 mm,MPV,5,9,,Digital,Digital,6,Automatic,Yes,Yes,10
Audi,Q7,45 Tdi Premium Plus,"Rs. 72,21,500",2967 cc,6,4,AWD (All Wheel Drive),BS IV,75 litres,Diesel,1740 mm,5052 mm,1968 mm,SUV,5,8,200 mm,Digital,Digital,7,Automatic,Yes,Yes,8
Audi,Q7,45 Tdi Technology Pack,"Rs. 80,21,500",2967 cc,6,4,AWD (All Wheel Drive),BS IV,75 litres,Diesel,1740 mm,5052 mm,1968 mm,SUV,5,8,200 mm,Digital,Digital,7,Automatic,Yes,Yes,8
Audi,Q7,40 Tfsi Quattro Premium Plus,"Rs. 69,21,500",1984 cc,6,4,AWD (All Wheel Drive),BS IV,75 litres,Petrol,1740 mm,5052 mm,1968 mm,SUV,5,8,200 mm,Digital,Digital,7,Automatic,Yes,Yes,8
Audi,Q7,40 Tfsi Quattro Technology Pack,"Rs. 76,21,500",1984 cc,6,4,AWD (All Wheel Drive),BS IV,75 litres,Petrol,1740 mm,5052 mm,1968 mm,SUV,5,8,200 mm,Digital,Digital,7,Automatic,Yes,Yes,8
Audi,Q7,45 Tdi Black Styling,"Rs. 81,11,500",2967 cc,6,4,AWD (All Wheel Drive),BS IV,75 litres,Diesel,1740 mm,5052 mm,1968 mm,SUV,5,8,200 mm,Digital,Digital,7,Automatic,Yes,Yes,8
Audi,Q7,40 Tfsi Quattro Black Styling,"Rs. 77,11,500",1984 cc,6,4,AWD (All Wheel Drive),BS IV,75 litres,Petrol,1740 mm,5052 mm,1968 mm,SUV,5,8,200 mm,Digital,Digital,7,Automatic,Yes,Yes,8
Land Rover Rover,Range Evoque Convertible,2.0 Hse Dynamic,"Rs. 69,52,964",1998 cc,4,4,4WD,BS IV,,Petrol,1609 mm,4370 mm,1900 mm,Convertible,5,9,,Digital,Analog,4,Automatic,Yes,Yes,7
Land Rover Rover,Range Velar,2.0 Diesel R-Dynamic S,"Rs. 72,46,802",1999 cc,4,4,4WD,BS IV,,Diesel,1665 mm,4797 mm,2145 mm,SUV,5,9,,Digital,Analog,5,Automatic,Yes,Yes,6
Land Rover Rover,Range Velar,2.0 Petrol R-Dynamic S,"Rs. 72,46,802",1997 cc,4,4,4WD,BS IV,65 litres,Petrol,1665 mm,4797 mm,2145 mm,SUV,5,9,,Digital,Analog,5,Automatic,Yes,Yes,6
Mercedes-Benz,Mercedes-Benz E-Class All Terrain,E 220D,"Rs. 75,00,000",1950 cc,6,4,RWD (Rear Wheel Drive),BS 6,80 litres,Diesel,1475 mm,4933 mm,1852 mm,SUV,4,,155 mm,Analog,Analog,5,Automatic,Yes,Yes,7
Volvo,Xc90,D5 Inscription,"Rs. 87,90,000",1969 cc,4,4,AWD (All Wheel Drive),BS IV,68 litres,Diesel,1776 mm,4950 mm,2140 mm,SUV,5,8,218 mm,Digital,Analog,7,Automatic,Yes,Yes,6
Volvo,Xc90,D5 Momentum,"Rs. 80,90,000",1969 cc,4,4,AWD (All Wheel Drive),BS IV,68 litres,Diesel,1776 mm,4950 mm,2140 mm,SUV,5,8,218 mm,Digital,Analog,7,Automatic,Yes,Yes,6
Volvo,Xc90,T8 Excellence,"Rs. 1,31,24,000",1969 cc,4,4,AWD (All Wheel Drive),BS IV,68 litres,Hybrid,1776 mm,4950 mm,2140 mm,SUV,5,8,218 mm,Digital,Analog,4,Automatic,Yes,Yes,6
Volvo,Xc90,T8 Inscription,"Rs. 96,65,000",1969 cc,4,4,AWD (All Wheel Drive),BS IV,68 litres,Hybrid,1776 mm,4950 mm,2140 mm,SUV,5,8,238 mm,Digital,Analog,7,Automatic,Yes,Yes,7
Volvo,Xc90,D5 R-Design,"Rs. 84,91,500",1969 cc,4,4,AWD (All Wheel Drive),BS IV,68 litres,Diesel,1776 mm,4950 mm,2140 mm,SUV,5,8,218 mm,Digital,Analog,7,Automatic,Yes,Yes,6
Land Rover Rover,Range Sport,5.0L V8 Svr Petrol,"Rs. 2,05,17,853",4999 cc,8,4,4WD,,,Petrol,1803 mm,4882 mm,2220 mm,SUV,5,,,Yes,Yes,5,Automatic,Yes,Yes,
Land Rover Rover,Range Sport,2.0L S Petrol,"Rs. 86,70,586",1997 cc,8,,4WD,BS IV,105 litres,Petrol,1803 mm,4879 mm,2220 mm,SUV,5,8,295.5 mm,Digital,Analog,7,Automatic,Yes,Yes,8
Land Rover Rover,Range Sport,2.0L Se Petrol,"Rs. 94,48,181",1997 cc,8,,4WD,BS IV,105 litres,Petrol,1803 mm,4879 mm,2220 mm,SUV,5,8,295.5 mm,Digital,Analog,7,Automatic,Yes,Yes,8
Land Rover Rover,Range Sport,3.0L V6 Se Petrol,"Rs. 1,14,76,911",2995 cc,6,4,4WD,BS IV,85 litres,Petrol,1803 mm,4879 mm,2220 mm,SUV,5,8,295.5 mm,Digital,Analog,7,Automatic,Yes,Yes,8
Land Rover Rover,Range Sport,2.0L Hse Petrol,"Rs. 1,56,00,000",1997 cc,8,,4WD,BS IV,105 litres,Petrol,1803 mm,4879 mm,2220 mm,SUV,5,8,295.5 mm,Digital,Analog,7,Automatic,Yes,Yes,8
Land Rover Rover,Range Sport,3.0L V6 Hse Petrol,"Rs. 1,32,28,725",2995 cc,6,4,4WD,BS IV,85 litres,Petrol,1803 mm,4879 mm,2220 mm,SUV,5,8,295.5 mm,Digital,Analog,7,Automatic,Yes,Yes,8
Land Rover Rover,Range Sport,5.0L V8 Autobiography Dynamic Petrol,"Rs. 1,79,40,227",4999 cc,8,4,4WD,,,Petrol,1803 mm,4879 mm,2220 mm,SUV,5,,,Yes,Yes,5,Automatic,Yes,Yes,8
Land Rover Rover,Range Sport,3.0L Tdv6 S Diesel,"Rs. 1,03,73,732",2993 cc,6,4,FWD (Front Wheel Drive),BS IV,80 litres,Diesel,1803 mm,4879 mm,2220 mm,SUV,5,8,172 mm,Digital,Analog,5,Automatic,Yes,Yes,8
Land Rover Rover,Range Sport,3.0L Tdv6 Se Diesel,"Rs. 1,19,13,021",2993 cc,6,4,FWD (Front Wheel Drive),BS IV,80 litres,Diesel,1803 mm,4879 mm,2220 mm,SUV,5,8,227 mm,Digital,Analog,5,Automatic,Yes,Yes,8
Land Rover Rover,Range Sport,4.4L Sdv8 Hse Diesel,"Rs. 1,49,08,985",4367 cc,8,2,4WD,BS IV,105 litres,Diesel,1803 mm,4879 mm,2220 mm,SUV,5,8,295.5 mm,Digital,Analog,7,Automatic,Yes,Yes,8
